 P.CHAVE  MODIFICACOES E INDICES
 XXXXXXXX XXXXXXXXXXXXXXXXXXXXX
 USINA    1                                 CAMARGOS            
 VAZMIN       34
 VMAXT    11 2021  92.560 '%'
 VMAXT    12 2021  61.310 '%'
 VMAXT     1 2022  70.240 '%'
 VMAXT     2 2022  85.120 '%'
 VMAXT     3 2022 100.000 '%'
 VMAXT    11 2022  92.560 '%'
 VMAXT    12 2022  61.310 '%'
 VMAXT     1 2023  70.240 '%'
 VMAXT     2 2023  85.120 '%'
 VMAXT     3 2023 100.000 '%'
 VMAXT    11 2023  92.560 '%'
 VMAXT    12 2023  61.310 '%'
 VMAXT     1 2024  70.240 '%'
 VMAXT     2 2024  85.120 '%'
 VMAXT     3 2024 100.000 '%'
 VMAXT    11 2024  92.560 '%'
 VMAXT    12 2024  61.310 '%'
 VMAXT     1 2025  70.240 '%'
 VMAXT     2 2025  85.120 '%'
 VMAXT     3 2025 100.000 '%'
 VMAXT    11 2025  92.560 '%'
 VMAXT    12 2025  61.310 '%'
 USINA    2                                 ITUTINGA            
 VAZMIN       34
 USINA    6                                 FURNAS              
 VAZMIN      131
 VMAXT    11 2021  95.920 '%'
 VMAXT    12 2021  93.540 '%'
 VMAXT     1 2022  95.990 '%'
 VMAXT     2 2022  97.060 '%'
 VMAXT     3 2022  98.580 '%'
 VMAXT     4 2022 100.000 '%'
 VMAXT    11 2022  95.920 '%'
 VMAXT    12 2022  93.540 '%'
 VMAXT     1 2023  95.990 '%'
 VMAXT     2 2023  97.060 '%'
 VMAXT     3 2023  98.580 '%'
 VMAXT     4 2023 100.000 '%'
 VMAXT    11 2023  95.920 '%'
 VMAXT    12 2023  93.540 '%'
 VMAXT     1 2024  95.990 '%'
 VMAXT     2 2024  97.060 '%'
 VMAXT     3 2024  98.580 '%'
 VMAXT     4 2024 100.000 '%'
 VMAXT    11 2024  95.920 '%'
 VMAXT    12 2024  93.540 '%'
 VMAXT     1 2025  95.990 '%'
 VMAXT     2 2025  97.060 '%'
 VMAXT     3 2025  98.580 '%'
 VMAXT     4 2025 100.000 '%'
 VMAXT    11 2025  95.920 '%'
 VMAXT    12 2025  93.540 '%'
 USINA    7                                 M. DE MORAES        
 VAZMIN      149
 VMINT    10 2021  13.230 '%'
 VMAXT    11 2021  80.000 '%'
 VMAXT     3 2022  89.080 '%'
 VMAXT     4 2022 100.000 '%'
 VMAXT    11 2022  80.000 '%'
 VMAXT     3 2023  89.080 '%'
 VMAXT     4 2023 100.000 '%'
 VMAXT    11 2023  80.000 '%'
 VMAXT     3 2024  89.080 '%'
 VMAXT     4 2024 100.000 '%'
 VMAXT    11 2024  80.000 '%'
 VMAXT     3 2025  89.080 '%'
 VMAXT     4 2025 100.000 '%'
 VMAXT    11 2025  80.000 '%'
 USINA    8                                 ESTREITO            
 VAZMIN      153
 USINA    9                                 JAGUARA             
 VAZMIN      168
 USINA    10                                IGARAPAVA           
 VAZMIN      172
 USINA    11                                VOLTA GRANDE        
 VAZMIN      178
 USINA    12                                P. COLOMBIA         
 VAZMIN      189
 USINA    14                                CACONDE             
 VAZMINT  10 2021   10.00 
 VAZMINT   1 2022   32.00 
 VMAXT    11 2021  94.050 '%'
 VMAXT    12 2021  92.060 '%'
 VMAXT     1 2022  94.050 '%'
 VMAXT     2 2022  96.030 '%'
 VMAXT     3 2022  98.020 '%'
 VMAXT     4 2022 100.000 '%'
 VMAXT    11 2022  94.050 '%'
 VMAXT    12 2022  92.060 '%'
 VMAXT     1 2023  94.050 '%'
 VMAXT     2 2023  96.030 '%'
 VMAXT     3 2023  98.020 '%'
 VMAXT     4 2023 100.000 '%'
 VMAXT    11 2023  94.050 '%'
 VMAXT    12 2023  92.060 '%'
 VMAXT     1 2024  94.050 '%'
